geneName	AL3.1,AL3.2	ALP.1,ALP.2	AWP.1,AWP.2	EL3.1,EL3.2	ELP.1,ELP.2	EWP.1,EWP.2	LL3.1,LL3.2	LLP.1,LLP.2	LWP.1,LWP.2	WL3.1,WL3.2	WLP.1,WLP.2	WWP.1,WWP.2
FBgn0000447	168.47.00	24.04.00	224.09.00	120.47.00	65.06.00	193.56.00	245.22.00	50.39.00	169.52.00	109.38.00	65.08.00	106.36.00
FBgn0000448	208.56.00	174.45.00	234.18.00	1176.26.00	78.06.00	152.51.00	1663.12.00	190.44.00	143.37.00	47.15.00	104.24.00	117.09.00
FBgn0000449	171.54.00	1830.07.00	555.29.00	382.46.00	865.08.00	12007.24.00	864.38.00	0	14162.16.00	270.59.00	3965.45.00	10388.44.00
FBgn0000451	385.07.00	90.27.00	129.23.00	1406.59.00	69.58.00	129.04.00	1463.55.00	122.27.00	126.02.00	11828.53.00	94.39.00	80.34.00
FBgn0000454	101.31.00	40.47.00	203.22.00	220.38.00	51.31.00	124.28.00	145.25.00	132.55.00	140.39.00	128.36.00	35.02.00	108.29.00
FBgn0000455	19.57	120.14.00	109.42.00	164.56.00	135.26.00	161.31.00	70.24.00	160.58.00	28.56.00	47.56.00	53.46.00	182.35.00
FBgn0000459	259.31.00	67.14.00	102.48.00	1155.32.00	5612.41.00	810.18.00	115.09.00	13743.15.00	44.12.00	1491.32.00	3761.52.00	12929.27.00
FBgn0000463	104.19.00	38.44.00	110.35.00	100.03.00	35.18.00	105.47.00	185.32.00	483.12.00	74.24.00	203.55.00	121.14.00	51.36.00
FBgn0000464	369.01.00	147.17.00	110.18.00	138.57.00	31.05.00	66.15.00	76.33.00	888.09.00	43.01.00	41.46.00	1529.17.00	172.58.00
FBgn0000473	0	4624.36.00	3871.56.00	11565.15.00	7412.46.00	2834.47.00	0	2860.58.00	0	0	8280.51.00	0
FBgn0000477	610.47.00	58.34.00	10738.15.00	27.37.00	159.45.00	304.46.00	2789.26.00	241.57.00	1513.01.00	7898.51.00	1249.05.00	4705.15.00
FBgn0000479	524.43.00	133.09.00	327.43.00	94.53.00	47.44.00	1540.23.00	5.06	97.24.00	555.56.00	1410.31.00	415.06.00	1244.09.00
FBgn0000482	686.35.00	782.13.00	416.18.00	9.34	1666.47.00	1105.23.00	100.17.00	174.47.00	1638.38.00	44.53.00	1215.05.00	1214.13.00
FBgn0000489	1540.51.00	163.28.00	117.05.00	67.13.00	59.57.00	80.26.00	84.11.00	142.02.00	53.49.00	19.03	92.18.00	26.29.00
FBgn0000490	1541.36.00	662.01.00	159.14.00	87.13.00	958.13.00	1031.11.00	95.25.00	196.16.00	1136.36.00	82.03.00	1415.56.00	1419.55.00
FBgn0000492	829.56.00	13088.46.00	90.04.00	16206.28.00	5613.14.00	1231.02.00	1161.36.00	894.14.00	635.48.00	77.46.00	107.19.00	89.08.00
FBgn0000497	129.15.00	1536.39.00	100.47.00	168.18.00	152.04.00	64.46.00	83.31.00	840.42.00	40.42.00	198.02.00	141.51.00	40.14.00
FBgn0000499	148.09.00	984.49.00	87.46.00	144.59.00	1433.48.00	55.03.00	146.03.00	1365.11.00	25.45.00	196.41.00	181.27.00	40.43.00
FBgn0000500	0	13791.03.00	0	0	85.21.00	0	0	5731.02.00	0	0	76.13.00	0
FBgn0000504	115.59.00	636.47.00	75.19.00	79.37.00	663.33.00	67.59.00	108.44.00	171.49.00	11.08	131.43.00	1586.18.00	32.53.00
FBgn0000520	174.53.00	566.47.00	17.39	48.37.00	751.26.00	58.26.00	37.48.00	472.26.00	161.09.00	157.36.00	526.09.00	128.33.00
FBgn0000524	129.49.00	902.17.00	122.11.00	55.37.00	1510.53.00	36.39.00	186.36.00	560.11.00	29.16.00	131.24.00	602.24.00	41.19.00
